base,id_formula,idcolor,descripcion,formula_1l
ACCENT,226507,ALB 50YR15/243,ALB 50YR15/243,B=14.5 | C=41 | F=26 | KX=40.8
ACCENT,226527,LABSI 019,Verde Class,AXX=123.4 | B=0.45 | C=13.4 | D=11.9
ACCENT,226529,SW 9178,SW 9178,B=39 | E=68.2 | KX=13.8 | M=31.2
ACCENT,226607,ALB 91BB07/263 SYC,ALB 91BB07/263 SYC,B=2.3 | E=61.2 | KX=9.5 | M=79
ACCENT,226608,TER 3548,TER 3548,B=125
ACCENT,226609,SUV L113,SUV L113,C=72 | F=6 | I=42 | KX=5
ACCENT,226702,ALB 51GG12/132,ALB 51GG12/132,D=72.9 | E=12.5 | F=9.2 | KX=32.1
ACCENT,226705,SW 6383,SW 6383,B=1 | C=87.8 | KX=48.2
ACCENT,226712,COL N209-4,COL N209-4,B=57 | E=8.5 | KX=73.1
ACCENT,226743,ALB 30GY19/323,ALB 30GY19/323,AXX=74.1 | D=17.8 | KX=13.1 | L=24.6
ACCENT,226748,ALB 65YR11/146,ALB 65YR11/146,B=9.1 | C=38.2 | I=83.5 | KX=7
ACCENT,226759,SW 9142,SW 9142,B=9.3 | E=69.2 | KX=14.3 | L=41
ACCENT,226826,ALB 90GG12/206,ALB 90GG12/206,D=43.1 | E=42 | KX=23.1 | L=25.4
ACCENT,226829,7413,Under the Sea,D=1.4 | E=63.6 | KX=14.5 | L=54.7
ACCENT,226831,TER 2838,TER 2838,B=36 | D=72 | E=18 | KX=24
ACCENT,226833,TER 2398,TER 2398,C=66 | I=6 | KX=17 | L=7
ACCENT,226838,ALB 50BG08/021,ALB 50BG08/021,B=80 | D=26.6 | F=2.7 | KX=25.1
ACCENT,226852,SUV M136 S2000,SUV M136,C=39 | KX=21 | R=78
ACCENT,226854,SUV L081,SUV L081,AXX=105 | C=21 | KX=14
ACCENT,226856,SUV M139 S2000,SUV M139,F=31.3 | KX=8.4 | L=31.5 | V=69.3
ACCENT,226898,SW 6265 S2000,SW 6265,E=25.7 | KX=7.4 | L=37 | V=42.7
ACCENT,226904,HER-204,AMARILLO 04,AXX=141.3 | F=0.7
ACCENT,226916,AC 146-M,AC 146 Hugos Hidro Sat,D=3 | E=114 | KX=30 | V=2
ACCENT,226959,TER 3138 S2000,TER 3138,B=16 | KX=2.4 | V=89
ACCENT,226984,AC 114 S2,AC 114 S2000 yoppen,C=10.5 | KX=31 | R=28.5 | T=81
ACCENT,227051,ALB 80GG12/182,ALB 80GG12/182,D=39.4 | E=36.9 | KX=20.4 | L=41.3
ACCENT,227225,TER 2558,TER 2558,AXX=116.5 | C=4.3 | D=2.5 | KX=22.6
ACCENT,227335,CB R339 S2000,Oceano Pacifico,C=2.9 | E=122.9 | KX=17 | V=3
ACCENT,227338,ALB 06YY08/048,ALB 06YY08/048,B=75.5 | C=47.9 | F=7 | KX=8.5
ACCENT,227344,TER 2678,TER 2678,AXX=99.6 | D=32 | KX=15.2
ACCENT,227352,CI 0963-M,Zambia - M - Hugos (9-2-24),KX=22 | R=30 | SS=7 | T=98
ACCENT,227399,ALB 91YR08/025,ALB 91YR08/025,B=65 | C=19 | I=33.8 | KX=7.5
ACCENT,227403,ALB 42GY09/205,ALB 42GY09/205,B=13.2 | C=57 | D=50.5 | KX=6
ACCENT,227418,Quimtex M161,Quimtex M161,B=90.6 | C=28.7 | I=29.2
ACCENT,227420,8597-M,Soul of the Earth - Bocca Hidro Sat,B=9 | C=20 | F=3 | I=96 | V=6
ACCENT,227463,ALB 50GY06/077,ALB 50GY06/077,B=48 | C=28 | D=44
ACCENT,227466,SW 6925,SW 6925,AXX=64.7 | B=0.8 | D=49.9 | KX=24
ACCENT,227522,PAN 445,PAN 445 C,AXX=7.9 | B=55.1 | KX=31 | L=25.1
ACCENT,227523,SW 6419,SW 6419,B=14.8 | C=114 | D=17.6
ACCENT,228545,SW 6691,SW 6691,AXX=104 | C=15.2 | KX=13.5 | L=4.1
ACCENT,228550,ALB 56BB07/196 S2000,ALB 56BB07/196,B=10 | E=103 | V=7
ACCENT,228638,LAB 122 S2000,Gris Oscuro Puma,B=103.8 | KX=17.1 | L=18.9 | V=6.5
ACCENT,228722,RAL 5008,RAL 5008,E=105.3 | F=13.3 | KX=12.9
ACCENT,229755,AC 143-M,AC 143-m Hugos,E=60 | KX=8 | L=20 | V=32
ACCENT,229794,Marron del Plata,Marron del Plata,B=47.7 | C=28.9 | F=2.8 | KX=16.5
ACCENT,229802,PAN 1605,PAN 1605 C,C=111.8 | F=28.3 | L=13.4
ACCENT,230858,SUV M120 S2000,SUV M120,C=19 | I=77.4 | KX=1.6 | R=22.8
ACCENT,230878,SUV L163,SUV L163,B=80.9 | KX=27 | L=32.8
ACCENT,230926,CB R385,Paramo,B=80.9 | C=19.2 | F=2.5 | KX=6.9
ACCENT,230943,PAN 7413 S2000,PAN 7413 C,C=51.9 | KX=20.1 | R=12.2 | T=39.3
ACCENT,231955,LAB 125,TARQ Condor 1 tono menos,B=61.73 | C=3.05 | KX=46.26 | L=32.85
ACCENT,231972,RAL 8016 S2000,RAL 8016,B=67.6 | F=23.1 | KX=5.6 | V=20.9
ACCENT,231990,Credicoop Marcos,Credicoop Marcos,B=66 | KX=30 | L=39 | V=9
ACCENT,231995,ALB 7017,ALB 7017,D=96 | KX=40
ACCENT,232008,SW 6587 S2000,SW 6587,B=1.1 | KX=5.5 | R=29 | V=69.5
ACCENT,232033,ALB 50BB06/163,ALB 50BB06/163,B=14.7 | E=119.5 | KX=0.9
ACCENT,232069,CB Y003,Jarabe de Mapple,C=112.8 | F=20.7 | KX=12
ACCENT,232085,IND3-1850,Gris New Holland,B=110.2 | C=4.3 | D=7 | KX=20.6
ACCENT,232092,7213 S2000-Y,Georgian Court S2000,E=46 | KX=12 | V=62.56
ACCENT,232093,Gris Lunar DURAESMAL,Gris Lunar DURAESMAL,B=81.8 | D=13.3 | E=41.6 | KX=9.2
ACCENT,232094,8061 S2000-Y,SELECCION Y COMB. 8061 S2000 yoppen,KX=19 | R=88 | T=36
ACCENT,232119,8061-Me,8061 Megashop Frentes,KX=7.2 | SS=115.2 | T=9.6
ACCENT,232120,7213-S2Me,7213 S2 Megashop Frentes,E=48 | KX=9.6 | V=43.2
ACCENT,232133,ALB 90BG10/067,ALB 90BG10/067,B=76.2 | D=15 | E=14.1 | KX=41.4
ACCENT,232149,HER-522,Verde Esmeralda,C=13.7 | D=100.5 | KX=18.2 | L=7.3
ACCENT,232162,PAN 654 S2000,PAN 654,B=16 | E=98 | KX=10 | V=20.4
ACCENT,232179,HER-654 S2000,Azulejo,E=94.7 | KX=20.7 | L=18.9 | V=6.5
ACCENT,232190,AC 123 - mpedro,AC 123,I=0.9 | KX=1 | R=47.5 | V=50.5
ACCENT,232239,8021 S2000-Y,Hot Shot S2000,KX=19 | R=44.22 | T=59
ACCENT,232250,AC 138 s2 - M,AC 138 - Mural Guarderia,E=5 | KX=19 | R=3 | V=68
ACCENT,232251,8021 S2-M,Hot Shot S2000 - Mural guarderia,KX=10 | R=32 | T=48
ACCENT,232252,AC 131 S2-M,AC 131 - Mural Guarderia,B=0.5 | C=3 | R=16 | V=64
ACCENT,232253,AC 111-M,AC 111 - Mural Guarderia,KX=10 | SS=5 | T=96
ACCENT,232254,8093 S2-M,8093 S-2000 - Mural Guarderia,R=96
ACCENT,232300,SW 2740,SW 2740,B=44.2 | E=11.1 | KX=50.5 | L=10.8 | M=21.7
ACCENT,232302,PAN 7476,PAN 7476,D=64 | E=44 | KX=13 | L=24.2
ACCENT,232373,ALB 96YR33/309,ALB 96YR33/309,C=38.5 | F=2.8 | KX=67.4 | L=18.5
ACCENT,232401,PAN 506,PAN 506 C,B=0.4 | KX=1.7 | L=9.3 | R=36.7 | V=60
ACCENT,232421,SW 9179 S2000,SW 9179,B=33.6 | E=85.5 | KX=8 | V=11.4
ACCENT,232502,IND4-1300,Celeste Oil,D=51.7 | E=53.8 | KX=35.7
ACCENT,232522,IND3-1570,Verde Cosechadora JD,AXX=84.9 | C=12.9 | D=39.9
ACCENT,232643,AC 111-Mo,AC 111 Monti Agreste,KX=16 | SS=8 | T=105
ACCENT,232681,CI 0276-M,Gold Taffeta - JP Marcatto - Acril,B=7 | C=22 | I=10 | KX=40
ACCENT,232682,RAL 3005,RAL 3005,E=13 | F=15 | V=115
ACCENT,232741,IRAM 08.1.075,IRAM 08.1.075,B=2.6 | E=137.3 | KX=9.6
ACCENT,232744,DTM Bermellon S2000,DTM Bermellon,R=144
ACCENT,232784,AA Celeste,AA Celeste,AXX=2 | E=100 | KX=36
ACCENT,232785,AA Azul S2000,AA Azul,B=0.5 | E=115 | KX=8 | V=18
ACCENT,232786,AA AMARILLO,AA AMARILLO,AXX=137.6 | F=0.86 | KX=9.2
ACCENT,232805,PAN 2593 S200,PAN 2593 C,E=17.4 | KX=12.6 | R=13.5 | V=70.7
ACCENT,232893,7269 S2-Y,Evening in Paris S2000,E=108 | KX=10 | V=17.68
ACCENT,232929,CRM Naranja Sabana S2000,CRM Naranja Sabana,KX=19.1 | R=54.3 | T=66
ACCENT,232931,ALB 98YR41/326,ALB 98YR41/326,C=37.6 | F=0.9 | I=6.1 | KX=83
ACCENT,232950,SW 7618,SW 7618,D=12.7 | E=50.7 | KX=29.9 | L=50.7
ACCENT,232962,AC 111-LoPub,AC 111 Lo Pub,KX=14 | SS=8 | T=104
ACCENT,232963,P.Viole-Osc-M,Punto Violeta - Lo Pub (7157-M) osc 21-14-24,B=48 | E=28 | KX=18 | M=105
ACCENT,233050,SW 7615,SW 7615,B=66.1 | E=42.7 | F=2.4 | KX=34.6
ACCENT,233052,SW 7630 S2000,SW 7630,B=44.1 | F=8.6 | V=77.3
ACCENT,233128,ACRIL Az. Traful,ACRILPLAST Az. Traful,E=117.5 | KX=18.2 | L=12.4
ACCENT,233132,ALB 48YR26/519 S2000,ALB 48YR26/519,KX=14.8 | L=6.8 | R=35.5 | T=79.5
ACCENT,233252,ALB 10YY21/500,ALB 10YY21/500,C=149.8 | F=1.2 | L=1.5
ACCENT,233289,ALB 00YY12/279,ALB 00YY12/279,C=75.7 | F=5.3 | L=68.2
ACCENT,233290,ALB 51BB11/311 S2000,ALB 51BB11/311,E=105.7 | KX=18.1 | V=20
ACCENT,233357,SW 7675,SW 7675,B=91.8 | C=26.2 | F=11.5 | KX=5.3
ACCENT,233401,IRAM 01.1.340,IRAM 01.1.340,B=98.2 | C=17.5 | F=7.7 | KX=14.2
ACCENT,233413,CI 1117-M-H,Rojo bordo Hugos acril,L=3.5 | R=84 | V=14
ACCENT,233437,7557-M,Woodland Fern - Motor Correa Satin,B=25 | C=10 | D=68 | KX=15 | L=2
ACCENT,233439,7773 ORIGINAL,Sour Lime ORIGINAL,AXX=118 | D=1.5 | KX=25
ACCENT,233449,RAL 6016 ORIGINAL,RAL 6016 ORIGINAL,AXX=28 | D=81 | KX=20 | V=7
ACCENT,233459,AGRO077 SYC,AMARILLO HELVETICA SYC,KX=24 | M=6.5 | SS=7.5 | T=112
ACCENT,233506,PAN 254 S2000,PAN 254 C,E=2.1 | KX=21.3 | M=115.9
ACCENT,233511,SUV M017,SUV M017,B=14.3 | E=120.9 | KX=3.8 | L=4.8
ACCENT,233521,PAN 1375 SYC,PAN 1375,KX=44 | SS=15 | T=78
ACCENT,233530,SW 7620,SW 7620,B=15.9 | E=49.6 | KX=18.1 | L=33.3
ACCENT,233539,TER 5005 S2000,TER 5005,KX=19.5 | R=11 | T=114
ACCENT,233540,TER 5032 S2000,TER 5032,KX=2.2 | L=1 | R=44.1 | V=18.5
ACCENT,233550,HER-720 C22,Gris 020,B=72 | C=16.1 | KX=47.1
ACCENT,233562,SUV X040,SUV X040,B=88.2 | C=9.8 | F=26
ACCENT,233816,PAN 504 S2000,PAN 504 C,B=24 | KX=2.2 | R=62.8 | V=28.1
ACCENT,233818,PAN 532,PAN 532 C,B=108 | KX=13.1
ACCENT,233850,ALB 26BB10/008-y,ALB 26BB10/008,B=91 | C=14.6 | KX=34.2
ACCENT,233876,7109 S2000,Iris Impact,E=12 | KX=15 | R=14
ACCENT,233898,ALB 13RR12/202 S2000,ALB 13RR12/202,E=5.1 | I=7.5 | KX=14.1 | V=82.4
ACCENT,233914,ac 129-m,Ricchezze,B=2.5 | F=10 | V=72
ACCENT,234946,7565-M-Hu,7565-M Hugos Farmacia,AXX=52 | D=66 | KX=24
ACCENT,234964,RAL 6012,RAL 6012,B=36.8 | D=27.2 | KX=4.5 | L=74.1
ACCENT,234968,Azul Boca (7269) S2000,Azul Boca (7269) SINTETICO,C=1.8 | E=119.1 | KX=9 | V=12.1
ACCENT,234974,POL Marron Latex,POL Marron Latex,B=60.1 | C=32.2 | F=14.1 | KX=30.6
ACCENT,235045,LAB 131 S2000,Rojo Independiente 2025,B=0.9 | R=86.5 | V=48.3
ACCENT,235059,8557-Z,8557-Z Zurita,B=1 | C=90 | F=9 | I=6 | KX=14 | L=24
ACCENT,235095,LAB 132 S2000,Azul Velez,E=53.6 | KX=42.2 | V=31.7
ACCENT,235099,ALUX  045,ALUX Ocre,C=119.7 | L=18.7 | R=3.9
ACCENT,235108,PAN 174 S2000,PAN 174 C,AXX=43.3 | B=3.7 | R=77.1
ACCENT,235126,SW 6230,SW 6230,B=24 | D=24 | E=74 | KX=14.8
ACCENT,235142,ALB 78GG15/104,ALB 78GG15/104,D=7.6 | E=2.6 | KX=39.5 | L=71.8
ACCENT,235186,PAN 7449 S2000,PAN 7449,B=4.5 | E=34.7 | KX=6.5 | R=69.1
ACCENT,235192,RAL 8028,RAL 8028,B=86.4 | C=28.9 | F=25.5
ACCENT,235236,LAB 133,HYDRO Brown Shaker,AXX=63.8 | B=20 | F=34.6 | KX=23.3
ACCENT,235240,PAN Black 5 S2000,PAN Black 5 C,B=64.8 | KX=3 | R=52.8
ACCENT,235259,PAN 7427 S2000,PAN 7427 C,I=2.5 | KX=0.9 | R=33.1 | V=60.2
ACCENT,235316,HIDRO Azul Marino S2000,Hidroesmalte Azul Marino,E=134 | V=7.5
ACCENT,235330,ALB 87YY13/208,ALB 87YY13/208,B=13.2 | C=85.4 | D=21.7
ACCENT,235527,7293 S2y,Night on the Town S2000,B=26 | E=78 | KX=18 | V=26.52
ACCENT,235665,ALB 44GG08/039,ALB 44GG08/039,AXX=26.1 | B=52.4 | D=21.6 | KX=14.1
ACCENT,235713,PAN 294 C,PAN 294,B=2.9 | E=130 | KX=4.1
ACCENT,235735,ALB 88BG08/179,ALB 88BG08/179,B=8.9 | D=19.6 | E=100.7 | KX=12.8
ACCENT,235742,ACRIL Az. Traful - M,ACRILPLAST Az. Traful - Mod Muni,E=105 | KX=16 | L=10
ACCENT,235807,SW 6841 SYC,SW 6841 MAT,B=2.7 | KX=9.6 | M=117.3 | SS=10.3
ACCENT,235824,ci 0171/72,Hidro epoxi 0171/72,C=30 | F=2 | I=18 | KX=20 | L=19
ACCENT,235884,SW 7729,SW 7729,B=11.1 | C=63 | D=12.1 | KX=53.2
ACCENT,235900,Colorplast Talampaya,Colorplast Talampaya,R=89.1 | V=16
ACCENT,235920,ALB 50BB08/171 S2000,ALB 50BB08/171,B=23 | E=70 | KX=21 | V=26.5
ACCENT,235942,TER 3577,TER 3577,B=25 | E=21 | KX=56
ACCENT,235943,TER 3567,TER 3567,B=27.5 | E=23.1 | KX=50.4
ACCENT,235946,CI 0136,Amazon Mist,B=20 | C=11.8 | F=15.2 | KX=50
ACCENT,236040,ALB 03YR08/318 S2000,ALB 03YR08/318,B=3.2 | R=75.6 | V=22.6
ACCENT,236041,ALB 01YR09/386 S2000,ALB 01YR09/386,B=2.2 | R=69.3 | V=41.5
ACCENT,236046,ALB 61GG08/119,ALB 61GG08/119,B=11.5 | D=126.1 | KX=2
ACCENT,236059,ALB 30GG21/423,ALB 30GG21/423,C=5.2 | D=99.1 | KX=32.6
ACCENT,236137,SW 7625,SW 7625,B=77.6 | D=17 | KX=38.5
ACCENT,236170,TER 2958 S2000,TER 2958,E=88 | KX=15 | L=17 | V=14.96
ACCENT,236252,CI 0094 - M,Starlet,B=19.5 | F=19.5 | KX=26.4 | V=28.8
ACCENT,236271,Sitex Gris Vulcano,Sitex Gris Vulcano,B=38.07 | KX=32.45 | L=66.57
ACCENT,236317,AC 126 S2 Y,AC 126,B=1 | KX=18 | R=42.9 | V=49
ACCENT,236353,7453-M-H,Hugos - Rosmar 608 oracal,B=10 | D=73 | E=48 | KX=30
ACCENT,236359,8257-M-H,Gris humo Hugos,B=68 | C=6 | KX=28 | L=32 | M=12
ACCENT,236413,ALB 55RR11/401 S2000,ALB 55RR11/401,KX=6.5 | L=5.2 | R=2.1 | V=103.8
ACCENT,236416,TER 2758,TER 2758,D=45.5 | E=16.7 | KX=12.2 | L=49.1
ACCENT,236421,CDG-Hugos,CDG logo magenta hugos,C=2 | KX=16 | M=106 | SS=28
ACCENT,236557,ALB 64YY38/505,ALB 64YY38/505,AXX=130.6 | B=2.2 | D=1 | KX=9.4
ACCENT,236583,IND3-1270 S2000,Rojo Deutz,AXX=62.1 | B=0.5 | R=66
ACCENT,236666,ALB 68YY16/179,ALB 68YY16/179,B=17.5 | C=101.7 | D=19.1 | KX=6.3
ACCENT,236669,SW 9176 S2000,SW 9176,B=13.1 | E=68.9 | KX=18.9 | V=34.9
ACCENT,240010,AzMaHu,Azul marino ac 143 Mod Hugos (frentes),E=56 | KX=10 | L=10 | V=40
ACCENT,240059,DTM Amarillo Medio,DTM Amarillo Medio,C=23 | F=0.5 | T=118
ACCENT,240104,7157---,7157 bajado,E=18 | KX=30 | V=70
ACCENT,240105,7157--,7157 Violeta bajado,B=1 | E=19 | KX=48 | V=70
ACCENT,240136,ALB 50YR07/162,ALB 50YR07/162,B=46.8 | F=75.8 | R=4.5 | T=17.4
ACCENT,240175,RAL 1024,RAL 1024,AXX=31 | C=30.2 | KX=42.1 | L=29.1
ACCENT,240232,IND3-1070,Verde Caiman,AXX=78.9 | B=26.4 | D=36.2
ACCENT,240256,Azul Siderar,Chapa Pre-pintada,AXX=0.7 | E=124.6 | KX=10.6 | R=0.5 | V=6.3
ACCENT,240309,SW 6083,SW 6083,B=52.4 | C=29.4 | F=23.5 | KX=29.4
ACCENT,240323,ALB 30RB17/202 S2000,ALB 30RB17/202,C=3.5 | E=15.5 | KX=42.3 | V=47.2
ACCENT,240356,ACRIL Borgoña S2000,ACRILPLAST Borgoña,B=19 | F=46.1 | KX=8 | V=65
ACCENT,240360,SW 7602 S2000,SW 7602,B=29 | E=31 | KX=33 | V=18
ACCENT,240380,0683-Hugos,Turquesa sat hugos,D=64 | E=36 | KX=42
ACCENT,240404,DTM Amarillo Vial,DTM Amarillo Vial,AXX=69 | KX=40 | T=33
ACCENT,240413,IND3-1870 NS,Rojo New Holland,E=1.5 | R=139 | T=3
ACCENT,240414,IND3-1870 NS SyC,Rojo New Holland SyC,E=1.25 | SS=111 | T=2.5
ACCENT,240511,Amarillo Valtra,Amarillo Valtra Plata y Luz,F=3.1 | L=2 | T=139.2
ACCENT,240550,ALB 70YR13/140,ALB 70YR13/140,B=32.3 | C=50.5 | F=17.4 | KX=28.6
ACCENT,240551,SW LOXON OCRE,SW LOXON OCRE,C=112.3 | L=13.5
ACCENT,240562,Lag-Esc,Laguna Escalera,KX=2 | L=1 | R=44 | V=22
ACCENT,240575,CB R333,Azul Atomo,D=15.8 | E=76.8 | KX=41.6
ACCENT,240576,CB P272,Curcuma,B=0.2 | KX=33.3 | R=6.2 | T=92
ACCENT,240580,PAN Black 2,PAN Black 2 C,B=38 | C=8.9 | L=71.4
ACCENT,240619,Carbon Mineral,Carbon Mineral Rodillable,B=144
ACCENT,240625,SW 6726,SW 6726,AXX=6 | C=56 | D=44 | KX=26
ACCENT,240647,ALB 5145 S2000,ALB 5145,L=4.9 | R=1.1 | T=136.8
ACCENT,240691,TER 2227 S2000,TER 2227,E=0.3 | KX=45.8 | R=27.4 | T=48.2
ACCENT,240715,ALB 5031 S2000,ALB 5031,L=16.2 | R=6.5 | T=112.5
ACCENT,240726,PAN 2955 S2000,PAN 2955 C,B=14 | E=90 | KX=24 | V=20.4
ACCENT,240727,ALB 45YR11/240,ALB 45YR11/240,B=15.5 | F=46.5 | T=50.6
ACCENT,240767,PAN 425,PAN 425,AXX=5.8 | B=51.3 | KX=39.9 | L=28.9
ACCENT,240814,Cremar Azul Noche S2000,Cremar Azul Noche,AXX=2 | E=130.8 | KX=3 | L=8.1
ACCENT,240817,NCS S 5030-R80B S2000,NCS S 5030-R80B,B=13 | E=45.1 | KX=45.7 | V=29.2
ACCENT,240885,ALB 99YR23/456 S2000,ALB 99YR23/456,B=1.6 | C=126.3 | R=1.8
ACCENT,240907,ALB 77BB07/344 S2000,ALB 77BB07/344,E=93 | KX=7.9 | V=31.3
ACCENT,240937,TER 2597,TER 2597,AXX=97.7 | C=11.5 | D=7.5 | KX=20.3
DEEP,98027,01B3D,BACCHUS,B=5 | V=35
DEEP,98028,01B3D SYC,BACCHUS,B=5 | M=58
DEEP,98029,01B4D,LAVENDER SILK,B=12 | V=84
DEEP,98035,01C3D,VERBENA,B=5 | L=5 | V=30
DEEP,98036,01C3D SYC,VERBENA,B=5 | L=5 | M=50
DEEP,98037,01C4D,RICH PLUM,B=12 | L=12 | V=72
DEEP,98049,02B3D,SNAPPY PINK,V=42
DEEP,98050,02B3D SYC,SNAPPY PINK,M=70
DEEP,98051,02B4D,BLAZEN PINK,V=96
DEEP,98057,02C3D,CEDAR ROSE,L=7 | V=35
DEEP,98058,02C3D SYC,CEDAR ROSE,L=7 | M=58
DEEP,98059,02C4D,SATIN ROSE,L=16 | V=80
DEEP,98071,03B3D,MARSH ROSE,R=14 | V=28
DEEP,98072,03B3D SYC,MARSH ROSE,M=46.5 | SS=28
DEEP,98073,03B4D,LIPSTICK,R=32 | V=64
DEEP,98079,03C3D,DAMASK ROSE,L=6 | R=18 | V=18
DEEP,98080,03C3D SYC,DAMASK ROSE,L=6 | M=30 | SS=36
DEEP,98081,03C4D,PAINTED DESERT,L=14 | R=42 | V=42
DEEP,98093,04B3D,MOLLY PINK,R=28 | V=14
DEEP,98094,04B3D SYC,MOLLY PINK,M=23 | SS=56
DEEP,98095,04B4D,CALYPSO RUFFEL,R=64 | V=32
DEEP,98101,04C3D,DUTCHESS PINK,F=5 | V=35
DEEP,98102,04C3D SYC,DUTCHESS PINK,F=5 | M=58
DEEP,98103,04C4D,ROSALIND,F=12 | V=84
DEEP,98115,05B3D,FESTIVE PINK,R=42
DEEP,98116,05B3D SYC,FESTIVE PINK,SS=84
DEEP,98117,05B4D,PINK FLARMINGO,R=96
DEEP,98123,05C3D,ENCHANTRESS,F=10 | V=30
DEEP,98124,05C4D,PAGODA RED,F=24 | V=72
DEEP,98134,06B2T SYC,FANTASY PINK,M=4 | SS=30 | T=2.5
DEEP,98135,06B3D,CHARADE PINK,R=30 | T=5 | V=5
DEEP,98136,06B3D SYC,CHARADE PINK,M=8 | SS=60 | T=5
DEEP,98137,06B4D,JAPONICA,R=72 | T=12 | V=12
DEEP,98142,06C2T SYC,CORAL SEA,F=2.5 | SS=35
DEEP,98143,06C3D,CORINTHIAN,F=5 | R=35
DEEP,98144,06C3D SYC,CORINTHIAN,F=5 | SS=70
DEEP,98145,06C4D,EGYPTIAN RED,F=12 | R=84
DEEP,98156,07B2T SYC,CORAL FEEF,F=5 | SS=30
DEEP,98157,07B3D,GINGER,F=10 | R=30
DEEP,98158,07B3D SYC,GINGER,F=10 | SS=60
DEEP,98159,07B4D,CARMINE,F=24 | R=72
DEEP,98165,07C3D,FIRE CLAY,F=14 | V=28
DEEP,98166,07C3D SYC,FIRE CLAY,F=14 | M=46.5
DEEP,98167,07C4D,COPPER GLOW,F=32 | V=64
DEEP,98179,08B3D,NORMAN ROSE,B=8 | F=8 | V=24
DEEP,98180,08B3D SYC,NORMAN ROSE,B=8 | F=8 | M=40
DEEP,98181,08B4D,BROWNBERRY,B=19 | F=19 | V=57
DEEP,98187,08C3D,CHOCOLATE MOUSSE,B=14 | F=14 | V=14
DEEP,98188,08C3D SYC,CHOCOLATE MOUSSE,B=14 | F=14 | M=23
DEEP,98189,08C4D,GINGER BROWN,B=32 | F=32 | V=32
DEEP,98190,08C4D SYC,GINGER BROWN,B=32 | F=32 | M=53
DEEP,98200,09B3D,CINNABAR,B=8 | F=16 | V=16
DEEP,98201,09B3D SYC,CINNABAR,B=8 | F=16 | M=26.5
DEEP,98202,09B4D,COPPER RUST,B=19 | F=38 | V=38
DEEP,98203,09B4D SYC,COPPER RUST,B=18.5 | F=37 | M=61
DEEP,98208,09C3D,RUSSET BROWN,F=8 | L=40 | V=8
DEEP,98209,09C3D SYC,RUSSET BROWN,F=8 | L=40 | M=13.5
DEEP,98210,09C4D,FALL LEAF,F=16 | L=80 | V=16
DEEP,98211,09C4D SYC,FALL LEAF,F=15 | L=76 | M=25
DEEP,98218,10B3D,RED JAVA,B=10 | F=30
DEEP,98219,10B4D,REDWOOD,B=24 | F=72
DEEP,98222,10C3D,CROMWELL BROWN,B=10 | F=25 | T=5
DEEP,98223,10C4D,OAKLEAF BROWN,B=24 | F=60 | T=12
DEEP,98229,11B3D,BRANCH BOUGH,B=5 | C=15 | F=20
DEEP,98230,11B4D,LIGHT EARTH,B=12 | C=36 | F=48
DEEP,98233,11C3D,SPICECAKE,B=7 | C=21 | F=14
DEEP,98234,11C4D,SABLE BRUSH,B=16 | C=48 | F=32
DEEP,98240,12B3D,ALDER,B=12 | C=18 | F=12
DEEP,98241,12B4D,AGED TEAKWOOD,B=28 | C=42 | F=28
DEEP,98244,12C3D,MAYFAIR TAN,B=5 | C=10 | I=25
DEEP,98245,12C4D,RICH EARTH,B=12 | C=24 | I=60
DEEP,98252,13B3D,GREAT SMOKIES,B=12 | L=30
DEEP,98253,13B4D,GRAY MOOD,B=28 | L=70
DEEP,98256,13C3D,WEATHERED GRAY,B=21 | L=21
DEEP,98257,13C4D,SLATE GRAY,B=48 | L=48
DEEP,98267,14B2T SYC,ENCHILADA,L=2.5 | SS=25 | T=5
DEEP,98268,14B3D,SANTE FE,L=5 | R=25 | T=10
DEEP,98269,14B3D SYC,SANTE FE,L=5 | SS=50 | T=10
DEEP,98270,14B4D,MINERAL RED,L=12 | R=60 | T=24
DEEP,98275,14C2T SYC,SHRIMPY,F=5 | SS=25 | T=2.5
DEEP,98276,14C3D,AZALEA,F=10 | R=25 | T=5
DEEP,98277,14C3D SYC,AZALEA,F=10 | SS=50 | T=5
DEEP,98278,14C4D,BRIGAND,F=24 | R=60 | T=12
DEEP,98290,15B3D,DAWN SUN,AXX=14 | R=28
DEEP,98291,15B3D SYC,DAWN SUN,AXX=14 | SS=56
DEEP,98292,15B4D,TROPICAL PUNCH,AXX=29 | C=1 | R=61
DEEP,98297,15C2T SYC,SMOKED SALMON,F=2.5 | SS=25 | T=5
DEEP,98298,15C3D,TITIAN ORANGE,F=5 | R=25 | T=10
DEEP,98299,15C3D SYC,TITIAN ORANGE,F=5 | SS=50 | T=10
DEEP,98300,15C4D,LOBSTER SHELL,F=12 | R=60 | T=24
DEEP,98312,16B3D,SORCERY SUEDE,F=5 | R=20 | T=15
DEEP,98313,16B3D SYC,SORCERY SUEDE,F=5 | SS=40 | T=15
DEEP,98314,16B4D,APRICOT BRANDY,F=12 | R=48 | T=36
DEEP,98320,16C3D,TITLE TAN,F=10 | R=15 | T=15
DEEP,98321,16C3D SYC,TITLE TAN,F=10 | SS=30 | T=15
DEEP,98322,16C4D,BRANDY FLAME,F=24 | R=36 | T=36
DEEP,98334,17B3D,MELODY,R=21 | T=21
DEEP,98335,17B3D SYC,MELODY,SS=42 | T=21
DEEP,98336,17B4D,ORANGE SUPREME,R=48 | T=48
