COD,ARTIC,PR_CON_IVA,usa_tinto,tipo_tinto,base_tinto,base_fisica_tinto,factor_envase_tinto,ajuste_formula_tinto,factor_tinto,litros_reales,kilos_reales,unidad_detectada,confianza_tinto,regla_tinto,observacion_tinto
82121077,PROFESIONAL INTERIOR BLANCO 20 LT,148816.67,SI,PINTURA,PASTEL,PASTEL,20,0.9,18,20,,L,MANUAL,Profesional interior x0.9,Regla manual: Profesional interior x0.9; Presentación 20L
82121074,PROFESIONAL INTERIOR BLANCO 4 LTS,34850.29,SI,PINTURA,PASTEL,PASTEL,4,0.9,3.6,4,,L,MANUAL,Profesional interior x0.9,Regla manual: Profesional interior x0.9; Presentación 4L
85104033,PROFESIONAL TECHOS ROJO 1 KGS,21616.09,NO,,,,,,,,,,,,Sin base tintométrica detectada
85104037,PROFESIONAL TECHOS ROJO 20 KGS,266105.91,NO,,,,,,,,,,,,Sin base tintométrica detectada
85104034,PROFESIONAL TECHOS ROJO 4 KGS,65252.86,NO,,,,,,,,,,,,Sin base tintométrica detectada
TPCA18T,Protector de pvc transp 18mm 12u,10580.41,NO,,,,,,,,,,,,Sin base tintométrica detectada
41117513,PROTEROX ANTIOXIDO GRIS 1 LTS,24319.49,NO,,,,,,,,,,,,Sin base tintométrica detectada
41117512,PROTEROX ANTIOXIDO GRIS 1/2 LTS,15184.00,NO,,,,,,,,,,,,Sin base tintométrica detectada
41117517,PROTEROX ANTIOXIDO GRIS 20 LTS,373015.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
41117514,PROTEROX ANTIOXIDO GRIS 4 LTS,82631.29,NO,,,,,,,,,,,,Sin base tintométrica detectada
41114013,PROTEROX ANTIOXIDO ROJO 1 LTS,23145.74,NO,,,,,,,,,,,,Sin base tintométrica detectada
41114012,PROTEROX ANTIOXIDO ROJO 1/2 LTS,14240.91,NO,,,,,,,,,,,,Sin base tintométrica detectada
41114011,PROTEROX ANTIOXIDO ROJO 1/4 LTS,8654.02,NO,,,,,,,,,,,,Sin base tintométrica detectada
41114017,PROTEROX ANTIOXIDO ROJO 20 LTS,362811.58,NO,,,,,,,,,,,,Sin base tintométrica detectada
41114014,PROTEROX ANTIOXIDO ROJO 4 LTS,77929.20,NO,,,,,,,,,,,,Sin base tintométrica detectada
ST03121,PYTHON A. RESIS. 9MTS AMARIL,9654.49,NO,,,,,,,,,,,,Sin base tintométrica detectada
